timestamp,parent,company,immediate,ownership_type,start_date,log_message,source_date,source_url,confidence,,
,Nigerian National Petroleum Corporation (NNPC),Clean Nigeria Associates Limited,,Directly Controlled,,,,http://www.cnang.org/index.php?option=com_weblinks&view=category&id=2%3Aassociate-links&Itemid=48,High,,
,Total Exploration and Production Nigeria Limited,Clean Nigeria Associates Limited,,Directly Controlled,,,,http://www.cnang.org/index.php?option=com_weblinks&view=category&id=2%3Aassociate-links&Itemid=48,High,,
,Amec Plc,AMEC Contractors West Africa Limited,,Directly Controlled,,,,http://www.amec.com/page.aspx?pointerid=6a4b93ac4b8f473c9dd4e1977179fc16,High,,
,Daewoo E&C,Daewoo Engineering and Construction Company Limited,,Directly Controlled,,,,http://www.daewooenc.com/company/overseas.asp,High,,
,Eni SpA,Snamprogetti SpA,,Directly Controlled,,,,http://www.eni.com/en_IT/attachments/publications/brochures-booklets/institutionals/EP_ING_giugno_05_definitivo.pdf,High,,
,Eni SpA,Saipem Nigeria,,Directly Controlled,,,,http://www.eni.com/en_IT/attachments/publications/brochures-booklets/countries/NIGERIA_Brochure_UK_2002.pdf,High,,
,Eni SpA,Saipem Contracting Nigeria Limited,,Directly Controlled,,,,http://www.eni.com/en_IT/attachments/publications/brochures-booklets/countries/NIGERIA_Brochure_UK_2002.pdf,High,,
,Nigerian National Petroleum Corporation (NNPC),Shell Petroleum Development Company of Nigeria Limited (SPDC),55,Directly Controlled,,,,http://www.shell.com.ng/aboutshell/shell-businesses/e-and-p/spdc.html,High,http://www.mbendi.com/orgs/caok.htm,Medium
,Shell International Limited,Shell Petroleum Development Company of Nigeria Limited (SPDC),30,Directly Controlled,,,,http://www.shell.com.ng/aboutshell/shell-businesses/e-and-p/spdc.html,High,http://www.mbendi.com/orgs/caok.htm,Medium
,Total Exploration and Production Nigeria Limited,Shell Petroleum Development Company of Nigeria Limited (SPDC),10,Directly Controlled,,,,http://www.shell.com.ng/aboutshell/shell-businesses/e-and-p/spdc.html,High,http://www.mbendi.com/orgs/caok.htm,Medium
,Nigerian Agip Oil Company Limited,Shell Petroleum Development Company of Nigeria Limited (SPDC),5,Directly Controlled,,,,http://www.shell.com.ng/aboutshell/shell-businesses/e-and-p/spdc.html,High,http://www.mbendi.com/orgs/caok.htm,Medium
,Starcrest Nigeria Energy Limited,Elcrest Exploration and Production Nigeria Limited,,Directly Controlled,,,,http://www.ventures-africa.com/2012/09/elcrest-acquires-30-stake-in-shells-oml-40-oil-block-for-102m/,Medium,,
,Eland Oil and Gas Limited,Elcrest Exploration and Production Nigeria Limited,,Directly Controlled,,,,http://www.ventures-africa.com/2012/09/elcrest-acquires-30-stake-in-shells-oml-40-oil-block-for-102m/,Medium,,
,Trafigura Beheer BV,Napoil (Bermuda) Limited,49,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Nigerian National Petroleum Corporation (NNPC),Napoil (Bermuda) Limited,51,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Vitol Energy (Bermunda) Limited,Hyson (Nigeria) Limited,,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Nigerian National Petroleum Corporation (NNPC),Hyson (Nigeria) Limited,,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Vitol Energy (Bermunda) Limited,Calson (Bermuda) Limited,49,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Nigerian National Petroleum Corporation (NNPC),Calson (Bermuda) Limited,51,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Tridax Energy Limited,Tridax SA,,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Mezcor Limited,Mezcor SA,,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Arthur Eze,Atlas Petroleum International Limited,Founder and owner,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=38653051,Medium,,
,John Grill,WorleyParsons Limited,Founder,Directly Controlled,1971,,,http://en.wikipedia.org/wiki/WorleyParsons,Medium,,
