timestamp,official_title,name,company_source,company_target,operator,type,share,description,value_usd,value_currency_amount,value_currency_unit,field,license_area,annoucement_date,start_date,end_date,,duration_months,source_date,,source_url,,,,,log_message
4/21/2014 14:59:38,,"Casing / Tubing Running Services (2005-2007, Ext. till June 2010 but still ongoing)",Chevron Nigeria Limited,Tecon Oil Services Limited,,Service Contracts,,"Casing / Tubing Running Services (2005-2007, Ext. till June 2010 but still ongoing)",,,,,,,,,,,,,http://www.teconoilserv.com/index.php?s=projects,4/21/2014 14:59:38,,,,
4/21/2014 15:07:13,,"Tubular Handling Services (March 2004 – 2006, Extended till Sept 2008 till date)",Addax Petroleum Exploration Nigeria Limited,Tecon Oil Services Limited,,Service Contracts,,"Tubular Handling Services (March 2004 – 2006, Extended till Sept 2008 till date)",,,,,,,,,,,,,http://www.teconoilserv.com/index.php?s=projects,4/21/2014 15:07:13,,,,
4/21/2014 15:10:55,,Drill String & Fishing Rental Tools Services (2007 – 2009 with the Option of One Year Extension),Esso Exploration and Production Nigeria Limited,Tecon Oil Services Limited,,Service Contracts,,Drill String & Fishing Rental Tools Services (2007 – 2009 with the Option of One Year Extension),,,,,,,,,,,,,http://www.teconoilserv.com/index.php?s=projects,4/21/2014 15:10:55,,,,
4/21/2014 15:15:25,,Provision of Fishing Services (on GSF High Island IX) (June 2006 to June 2008 with the Option of One Year Extension but still ongoing),Addax Petroleum Development Nigeria Limited,Tecon Oil Services Limited,,Service Contracts,,Provision of Fishing Services (on GSF High Island IX) (June 2006 to June 2008 with the Option of One Year Extension but still ongoing),,,,,,,,,,,,,http://www.teconoilserv.com/index.php?s=projects,4/21/2014 15:15:25,,,,
4/21/2014 15:19:48,,Down Hole (Drilling Tools) Rentals (2005 to 2008),Schlumberger Supply Chain Services,Tecon Oil Services Limited,,Service Contracts,,Down Hole (Drilling Tools) Rentals (2005 to 2008),,,,,,,,,,,,,http://www.teconoilserv.com/index.php?s=projects,4/21/2014 15:19:48,,,,
4/21/2014 15:21:47,,Provision of Downhole Tools Rentals and Fishing Services (July 2002 to July 2005),Totalfinaelf Nigeria Limited,Tecon Oil Services Limited,,Service Contracts,,Provision of Downhole Tools Rentals and Fishing Services (July 2002 to July 2005),,,,,,,,,,,,,http://www.teconoilserv.com/index.php?s=projects,4/21/2014 15:21:47,,,,
4/21/2014 15:26:02,,"Down-hole Tools & Fishing Services (2005-2007, Plus One Year Extension)",Elf Petroleum Limited,Tecon Oil Services Limited,,Service Contracts,,"Down-hole Tools & Fishing Services (2005-2007, Plus One Year Extension)",,,,,,,,,,,,,http://www.teconoilserv.com/index.php?s=projects,4/21/2014 15:26:02,,,,
4/21/2014 15:28:42,,"General Services Agreement for the supply of Downhole Equipment Rental and Rotating Mousehole Tool (RMT)TM and Twister Torque Tool (TT)TM used for breaking out and making up DCs, DPs (2001 - 2002)",Stardeep Water Petroleum Limited,Tecon Oil Services Limited,,Service Contracts,,"General Services Agreement for the supply of Downhole Equipment Rental and Rotating Mousehole Tool (RMT)TM and Twister Torque Tool (TT)TM used for breaking out and making up DCs, DPs (2001 - 2002)",,,,,,,,,,,,,http://www.teconoilserv.com/index.php?s=projects,4/21/2014 15:28:42,,,,
4/21/2014 15:32:01,,Provision of Down Hole Equipment Services (2004/2005),Nigeria Agip Exploration Limited,Tecon Oil Services Limited,,Service Contracts,,Provision of Down Hole Equipment Services (2004/2005),,,,,,,,,,,,,http://www.teconoilserv.com/index.php?s=projects,4/21/2014 15:32:01,,,,
4/21/2014 15:56:31,,"Procurement, installation, maintenance and trading of personnel on Marine Break Away Coupling (NBC) (2004)",Shell Petroleum Development Company of Nigeria Limited (SPDC),Zech Oil and Gas Nigeria Limited,,Service Contracts,,"Procurement, installation, maintenance and trading of personnel on Marine Break Away Coupling (NBC) (2004) at Forcados, Bonny and Sea Eagle terminals",,,,,,,,,,,,,http://www.zechoil.com/clients.htm,4/21/2014 15:56:31,,,,
4/21/2014 16:10:40,,Installation and maintenance of Rotating/Static Equipment,Nigerian Agip Oil Company Limited,Zech Oil and Gas Nigeria Limited,,Service Contracts,,Installation and maintenance of Rotating/Static Equipment,,,,,,,,,,,,,http://www.zechoil.com/clients.htm,4/21/2014 16:10:40,,,,
4/21/2014 16:12:38,,Installation and maintenance of Rotating/Static Equipment,Total Exploration and Production Nigeria Limited,Zech Oil and Gas Nigeria Limited,,Service Contracts,,Installation and maintenance of Rotating/Static Equipment,,,,,,,,,,,,,http://www.zechoil.com/clients.htm,4/21/2014 16:12:38,,,,
4/24/2014 18:10:15,,"Environmental Impact Assessment (EIA) (2013, still ongoing)",Shell Petroleum Development Company of Nigeria Limited (SPDC),BGI Resources Limited,,Service Contracts,,"Environmental Impact Assessment (EIA) at H.Block, Belema and Ekulama Flow Station (2013, ongoing)",,,,,,,,,,,,,http://www.bgiresourcesltd.com/index2.php?p=projects,4/24/2014 18:10:15,,,,
4/24/2014 18:12:46,,"Sampling of all NAOC Impacted Site (2013, ongoing)",Nigerian Agip Oil Company Limited,BGI Resources Limited,,Service Contracts,,"Sampling of all NAOC Impacted Site (2013, ongoing)",,,,,,,,,,,,,http://www.bgiresourcesltd.com/index2.php?p=projects,4/24/2014 18:12:46,,,,
4/24/2014 18:15:37,,"EER of EAP Fiel (2013, ongoing)",Mobil Producing Nigeria Unlimited,BGI Resources Limited,,Service Contracts,,"EER of EAP Fiel (2013, ongoing)",,,,,,,,,,,,,http://www.bgiresourcesltd.com/index2.php?p=projects,4/24/2014 18:15:37,,,,
4/24/2014 18:20:35,,Effluent Monitoring (2011),ExxonMobil Nigeria,BGI Resources Limited,,Service Contracts,,"Effluent Monitoring at BRT, Bonny (2011)",,,,,,,,,,,,,http://www.bgiresourcesltd.com/index2.php?p=projects,4/24/2014 18:20:35,,,,
4/24/2014 18:23:25,,Post Drilling Ecological Seabed Survey (2010),Esso Exploration and Production Nigeria Limited,BGI Resources Limited,,Service Contracts,,Post Drilling Ecological Seabed Survey (2010),,,,,OPL 214,,,,,,,,http://www.bgiresourcesltd.com/index2.php?p=projects,4/24/2014 18:23:25,,,,
4/24/2014 18:26:17,,Environmental Baseline Survey (2009),TOTAL Nigeria,BGI Resources Limited,,Service Contracts,,Environmental Baseline Survey (2009),,,,,OPL 257,,,,,,,,http://www.bgiresourcesltd.com/index2.php?p=projects,4/24/2014 18:26:17,,,,
4/24/2014 18:34:47,,Environmental Impact Assessment (EIA) of AGBARA Phase II Project (2008),Agip Energy and Natural Resources (AENR),BGI Resources Limited,,Service Contracts,,Environmental Impact Assessment (EIA) of AGBARA Phase II Project (2008),,,,,OML 116,,,,,,,,http://www.bgiresourcesltd.com/index2.php?p=projects,4/24/2014 18:34:47,,,,
4/24/2014 18:41:41,,Supply of Heavy Vehicles (2013),Mobil Producing Nigeria Unlimited,Prime Sources Limited,,Service Contracts,,Supply of Heavy Vehicles (2013),,,,,,,,,,,,,http://primesources.net/projects.html,4/24/2014 18:41:41,,,,
4/24/2014 18:43:10,,Funiwa Gas Project - Geotechnical and Geophysical survey (2013),Chevron Nigeria Limited,Prime Sources Limited,,Service Contracts,,Funiwa Gas Project - Geotechnical and Geophysical survey (2013),,,,,,,,,,,,,http://primesources.net/projects.html,4/24/2014 18:43:10,,,,
4/24/2014 18:45:43,,Cleanup of Crude Oil Contaminated Flare Pit (2011),Total Exploration and Production Nigeria Limited,Prime Sources Limited,,Service Contracts,,Cleanup of Crude Oil Contaminated Flare Pit at OLO Flow Station (2011),,,,,,,,,,,,,http://primesources.net/projects.html,4/24/2014 18:45:43,,,,
4/24/2014 18:51:53,,Provision of Oil Spill Response Equipment,Clean Nigeria Associates Limited,Prime Sources Limited,,Service Contracts,,Provision of Oil Spill Response Equipment,,,,,,,,,,,,,http://primesources.net/projects.html,4/24/2014 18:51:53,,,,CNA is made up of about 12 IOCs operating in Nigeria
4/24/2014 18:54:43,,Routine Maintenance on Egbin Gas Plant Facilities (2010),Nigeria Gas Company,Prime Sources Limited,,Service Contracts,,Routine Maintenance on Egbin Gas Plant Facilities (2010),,,,,,,,,,,,,http://primesources.net/projects.html,4/24/2014 18:54:43,,,,
4/24/2014 18:59:36,,Construction of Pile Foundation and Erection of 100m Telecommunications Tower Erection at Afam Gas Plant; Construction of Pile Foundation and Erection of 60m Telecommunications Tower Erection at Intels Camp; Construction of Pile Foundation and Erection of 56m Telecommunications Tower Erection at Afam Remote Manifold; Construction of Pile Foundation and Erection of 120m Telecommunications Tower Erection at Kidney Island (All in 2009),Shell Petroleum Development Company of Nigeria Limited (SPDC),Prime Sources Limited,,Service Contracts,,Construction of Pile Foundation and Erection of 100m Telecommunications Tower Erection at Afam Gas Plant; Construction of Pile Foundation and Erection of 60m Telecommunications Tower Erection at Intels Camp; Construction of Pile Foundation and Erection of 56m Telecommunications Tower Erection at Afam Remote Manifold; Construction of Pile Foundation and Erection of 120m Telecommunications Tower Erection at Kidney Island (All in 2009),,,,,,,,,,,,,http://primesources.net/projects.html,4/24/2014 18:59:36,,,,
4/24/2014 19:06:18,,SUPPLY OF PLAIN CASING & TUBINGS Qty of Joints - 1200,Shell Nigeria Exploration and Production Company (SNEPCO),Hyprops Nigeria Limited,,Service Contracts,,SUPPLY OF PLAIN CASING & TUBINGS Qty of Joints - 1200,,,,,,,,,,,,,http://www.hyprops.com/projects.html,4/24/2014 19:06:18,,,,
4/24/2014 19:08:51,,SUPPLY OF CASINGS & TUBINGS Qty of Joints - 1450,Esso Exploration and Production Nigeria Limited,Hyprops Nigeria Limited,,Service Contracts,,SUPPLY OF CASINGS & TUBINGS Qty of Joints - 1450,,,,,,,,,,,,,http://www.hyprops.com/projects.html,4/24/2014 19:08:51,,,,
4/24/2014 19:13:33,,Supply of completion accessories,Nigerian Agip Oil Company Limited,Hyprops Nigeria Limited,,Service Contracts,,Supply of completion accessories,,,,,,,,,,,,,http://www.hyprops.com/projects.html,4/24/2014 19:13:33,,,,
4/24/2014 19:15:10,,Provision of technical manpower,Mobil Producing Nigeria Unlimited,Hyprops Nigeria Limited,,Service Contracts,,Provision of technical manpower,,,,,,,,,,,,,http://www.hyprops.com/projects.html,4/24/2014 19:15:10,,,,
4/24/2014 19:37:12,,EGP3B Brownfield production platform modifications project (2010),Chevron Nigeria Limited,Crestech Engineering Limited,,Service Contracts,,EGP3B Brownfield production platform modifications project (2010),,,,,,,,,,,,,http://www.technip.com/en/entities/crestech/experience,4/24/2014 19:37:12,,,,Crestech is one of the affiliates of the Technip group (http://www.technip.com/en/entities/crestech/profile).
4/24/2014 19:40:56,,"Etim project: a 10,000 manhours Etim Life extension Repairs Project [Phase II Review] December 2009 - April 2010.",Mobil Producing Nigeria Unlimited,Crestech Engineering Limited,,Service Contracts,,"Etim project: a 10,000 manhours Etim Life extension Repairs Project [Phase II Review] December 2009 - April 2010.",,,,,,,,,,,,,http://www.technip.com/en/entities/crestech/experience,4/24/2014 19:40:56,,,,Crestech is one of the affiliates of the Technip group (http://www.technip.com/en/entities/crestech/profile).
4/24/2014 19:41:33,,"Etim project: a 10,000 manhours Etim Life extension Repairs Project [Phase II Review] December 2009 - April 2010.",Mobil Producing Nigeria Unlimited,Crestech Engineering Limited,,Service Contracts,,"Etim project: a 10,000 manhours Etim Life extension Repairs Project [Phase II Review] December 2009 - April 2010.",,,,,,,,,,,,,http://www.technip.com/en/entities/crestech/experience,4/24/2014 19:41:33,,,,Crestech is one of the affiliates of the Technip group (http://www.technip.com/en/entities/crestech/profile).
4/24/2014 19:44:17,,Egina FPSO offshore Basic Engineering project: a Front End Engineering Design [FEED] from February 2009 - March 2010.,Total Upstream Nigeria Limited (TUPNIL),Crestech Engineering Limited,,Service Contracts,,Egina FPSO offshore Basic Engineering project: a Front End Engineering Design [FEED] from February 2009 - March 2010.,,,,,,,,,,,,,http://www.technip.com/en/entities/crestech/experience,4/24/2014 19:44:17,,,,Crestech is one of the affiliates of the Technip group (http://www.technip.com/en/entities/crestech/profile).
4/24/2014 19:49:28,,"Akri-Oguta pipeline Project: an Onshore/Offshore 6,000 manhours FEED contract",Nigerian Agip Oil Company Limited,Crestech Engineering Limited,,Service Contracts,,"Akri-Oguta pipeline Project: an Onshore/Offshore 6,000 manhours FEED contract",,,,Akri-Oguta,,,,,,,,,http://www.technip.com/en/entities/crestech/experience,4/24/2014 19:49:28,,,,Crestech is one of the affiliates of the Technip group (http://www.technip.com/en/entities/crestech/profile).
4/24/2014 19:54:46,,"Ogunu Fuel Depot project: a 15,000 manhours Detailed Design onshore contract (2007)",Shell Petroleum Development Company of Nigeria Limited (SPDC),Crestech Engineering Limited,,Service Contracts,,"Ogunu Fuel Depot project: a 15,000 manhours Detailed Design onshore contract (2007)",,,,Ogunu,,,,,,,,,http://www.technip.com/en/entities/crestech/experience,4/24/2014 19:54:46,,,,Crestech is one of the affiliates of the Technip group (http://www.technip.com/en/entities/crestech/profile).
4/24/2014 20:18:58,,Patform Structural Analysis Project - POF Phase 2,ExxonMobil Nigeria,Point Engineering Limited,,Service Contracts,,Patform Structural Analysis Project - POF Phase 2,,,,,,,,,,,,,http://pointengineering.com/index.php/experience?start=1,4/24/2014 20:18:58,,,,
4/24/2014 20:22:22,,Detailed engineering for elevated Braithwaite Water Tank staging/ foundation at Obagi (2012),Total Exploration and Production Nigeria Limited,Point Engineering Limited,,Service Contracts,,"Detailed engineering for elevated Braithwaite Water Tank staging/ foundation at Obagi, ONELGA, Rivers state (2012)",,,,Obagi,,,,,,,,,http://pointengineering.com/index.php/experience?start=1,4/24/2014 20:22:22,,,,
