timestamp,name,other_names,previous_names,oc_id,,jurisdiction,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,,,,
,Nestoil Plc,Nestoil Plc,,,,Nigeria,Public,http://www.nestoilgroup.com/,,,1991,http://www.nestoilgroup.com/,"Africa Re-building 4th Floor, Plot 1679 Karimu Kotun Str., Victoria Island, Lagos state, Nigeria",http://www.nestoilgroup.com/contact-us.htm,Dr. Ernest Nnaemeka Azudialu-Obiejesi,,http://www.nigerialeadershipsummit.com/ernest-azudialu.php,,,,,,,,,,,http://www.nestoilgroup.com/,,,,
,National Engineering and Technical Company Limited (NETCO),National Engineering and Technical Company Limited (NETCO),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigeria Agip Exploration Limited,Nigeria Agip Exploration Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigeria Gas Company,Nigeria Gas Company,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigerian Agip Oil Company Limited,Nigerian Agip Oil Company Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nubian Nigeria Limited,Nubian Nigeria Limited,,,,Nigeria,Limited Liability Company,,,,1986,http://nubiangroup.org/about.html#team,"11, Awolowo Road, Ikoyi, Lagos.",http://nubiangroup.org/about.html#team,,,,,,,,,,,,,,http://nubiangroup.org/about.html#team,,,,
,Point Engineering Limited,Point Engineering Limited,,,,Nigeria,Limited Liability Company,http://pointengineering.com/index.php/about-us,,,1995,http://pointengineering.com/index.php/about-us,"Point House, Plot 129 Bodo Road, Off Woji Road, GRA Phase 2, Port Harcourt, Rivers State, Nigeria ",http://pointengineering.com/index.php/about-us,"George Okoyo, Director
Peter Eigbedon, Director
Richard Aludu, Director
Omare A. Jonathan, Director
George Okoyo, Director
Abubakar Dahiru, Director
Keneth Okoyo, Director
Odinaka Okoyo, Director
Peter Eigbedon, Director
Ebosetee Okoyo, Director
Anthony Oghuvwu, Director
Batombari Lezor, Director
Emeka Nwankwo, Director
Samuel Eguvere, Director
Egbuluka Francis, Director
Oke Oderhohwo, Director
Ureme Ikechukwu, Director
Mark Majebi, Director","George Okoyo (54,000,000)
Abubakar Dahiru (6,000,000)
Keneth Okoyo (10,000,000)
Barr. Opufaa Ben-Whyte (1,000,000)
Jonathan Taberen (500,000)
Osemujamhen Okoyo (5,000,000)
Odinaka Okoyo (5,000,000)
Peter Eigbedon (2,000,000)
Ebosetee Okoyo (10,000,000)
Caroline Okoyo (5,000,000)
Samuel Eguvere (500,000)
Staff (trustee Share) (1,000,000)",https://drive.google.com/file/d/0B-KlXDOYUc-ObGFDRE41SVVScmM/edit?usp=sharing,,,,,,,,,,,http://pointengineering.com,,,,
,Prime Sources Limited,Prime Sources Limited,,,,Nigeria,,,,,2001,http://primesources.net/aboutus.html,"Galcon House, Plot 2, Blk 113, Lekki Express Way (By Elf B/Stop), Lekki-Phase 1, Lagos State, Nigeria.",http://primesources.net/aboutus.html,,,,,,,,,,,,,,,,,,
,Saipem Energy International,Saipem Energy International,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saipem Nigeria,Saipem Nigeria,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
