timestamp,name,,legal_name,other_names,,previous_names,,oc_id,,jurisdiction,jurisdiction_source,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,document_name,documentation_summary,document_raw,document_url,,,,
,Atlas Petroleum International Limited,,,Atlas Petroleum International Limited,https://drive.google.com/file/d/0B-KlXDOYUc-OWmRMdjhpS2hkcnM/edit?usp=sharing,,,ng/163530,,Nigeria,,,,,,,,,,"Prince Arthur Eze, Director
Mr. Walter Chukwuzor Eze, Director
Ikpechukwu Eze (Jnr), Director
Mohammed Murtala, Director
Ibrahim Mohammed, Director","Prince Arthur Eze (77,520,000)
Mr. Ikechukwu Eze (43,520,000)
Mr. Walter Chukwuzor Eze (8,160,000)",https://drive.google.com/file/d/0B-KlXDOYUc-OWmRMdjhpS2hkcnM/edit?usp=sharing,,,,,,,,,,,,,,,,,,,
,Belbop Nigeria Limited,,,Belbop Nigeria Limited,http://www.dewaylesinternational.com/index.php?option=com_content&view=article&id=5&Itemid=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bell Oil and Gas Nigeria Limited,,,Bell Oil and Gas Nigeria Limited,http://www.belloil.com/clients/2014-3/,,,,,Nigeria,,,,,,,,,,"Kayode Thomas, Director
Ayo Aderibigbe, Director
Akindele Rockson, Director
Oyibo Chamberlain, Director
Nwani Andrew, Director
Ogboro Francis, Director
Adesina Festus A., Director","Kayode Thomas (325,000)
Ayo Aderibigbe (225,000)
Akindele Rockson (180,000)
Akinkumi Rockson (50,000)
Nwani Andrew (100,000)
Bamidele Kale (70,000)
Otunba Festus Adesina (50,000)",https://drive.google.com/file/d/0B-KlXDOYUc-ON1E1WlkxVHJfUFE/edit?usp=sharing,,,,,,,,,,,,,,,,,,,
,Belmont Limited,,,Belmont Limited,http://fomoyi.com/index.php?option=com_content&view=article&id=5&Itemid=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BGI Resources Limited,31,,BGI Resources Limited,http://bgiresourcesltd.com/Projects_types.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BGI Resources Limited,30,,BGI Resources Limited,http://bgiresourcesltd.com/Projects_types.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bint and Prathel Limited,,,Bint and Prathel Limited,http://www.bintandprathel.com/news/29-bint-a-prathel-ltd-project-with-mobil-on-going-till-2010.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BJ Services Company Nigeria Limited,,,BJ Services Company Nigeria Limited,http://bgiresourcesltd.com/Projects_types5.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boltog  Limited,,,Boltog  Limited,http://www.boltoggroup.com/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brawal shipping (Nigeria) limited,,,Brawal shipping (Nigeria) limited,http://www.anaindustries.net/projects.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calson (Bermuda) Limited,,,Calson (Bermuda) Limited,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Camac International Nigeria Limited,x,,"Camac International Nigeria Limited, Camac International Limited",https://drive.google.com/file/d/0B-KlXDOYUc-OTkMxVWk4U1RrOVE/edit?usp=sharing,,,,,Nigeria,,,,,,,,,,"Lawal Lukeman K., Director
Aliyu Kola Belgore, Director
Lawal Kamoru, Director
Lawal Mickey, Director
Adegbemile Iyabo, Director
Busari Murhi, Director","Camac Energy Ep Ltd (499,000)
Limota Lawal (1)",https://drive.google.com/file/d/0B-KlXDOYUc-OTkMxVWk4U1RrOVE/edit?usp=sharing,,,,,,,,,,,,,,,,,,,
,Catobi Nigeria Enterprise Limited,,,Catobi Nigeria Enterprise Limited,http://www.catobi.com/index1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Channel Engineering Nigeria Limited,,,Channel Engineering Nigeria Limited,http://chattelng.com/PAST-JOBS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chattel Associates Nigeria Limited,,,Chattel Associates Nigeria Limited,http://chattelng.com/PAST-JOBS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chevron Corporation,,,Chevron Corporation,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=13614774,,,,,United States,http://investing.businessweek.com/research/stocks/snapshot/snapshot.asp?ticker=CVX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chevron Nigeria Limited,x,,"Chevron Nigeria Limited, Chevron Petroleum Nigeria Limited",http://www.sydneygateway.com/projects.html,,,,,Nigeria,http://www.chevron.com/countries/nigeria/contactus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China National Offshore Oil Corporation (CNOOC),,,China National Offshore Oil Corporation (CNOOC),http://www.subseaiq.com/data/Project.aspx?project_id=662,,,,,China,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=7828203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China Petrochemical Corporation,,,China Petrochemical Corporation,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=7537931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cisan International Limited,,,Cisan International Limited,http://cisaninternational.com/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clean Nigeria Associates Limited,,,Clean Nigeria Associates Limited,http://primesources.net/projects.html,,,,,,,,,,,1981,http://www.cnang.org/,"CNA Fire Building, Rm 1 & 2, Shell Petroleum Development Co. Ltd., Kidney Island, Port Harcourt, Rivers State, Nigeria",http://www.cnang.org/index.php?option=com_contact&view=contact&id=1%3Aph-quaters&catid=12%3Acontacts&Itemid=82,,,,,,,,,,,,,,http://www.cnang.org/,,,,,,,,
,Conoco Energy Nigeria Limited,,,Conoco Energy Nigeria Limited,http://bgiresourcesltd.com/Projects_types.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
