timestamp,name,,legal_name,other_names,,previous_names,,oc_id,,jurisdiction,jurisdiction_source,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,document_name,documentation_summary,document_raw,document_url,,,,
,Jagal Group,,,Jagal Group,http://www.jagal.com/latest-news/exxonmobil-hands-out-nigerian-epcm-deal/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jam Services Company,,,Jam Services Company,http://www.jamservicesco.com/projects.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jeph Kebbi International Limited Company,,,Jeph Kebbi International Limited Company,http://jephkebbi.com/index.php?option=com_content&view=article&id=5&Itemid=5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Julius Berger Nigeria Limited,,,Julius Berger Nigeria Limited,http://jephkebbi.com/index.php?option=com_content&view=article&id=5&Itemid=5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaduna Refining & Petrochemicals Company (KPRC),,,Kaduna Refining & Petrochemicals Company (KPRC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaztec Engineering Limited,,,Kaztec Engineering Limited,http://www.kaztec-eng.com/index.php/2014-01-17-08-24-48/2014-01-17-08-51-17/2014-01-17-09-05-52,,,,,,,,,,,2005,http://www.kaztec-eng.com/,"#2, Oguda Close, Off Lake Chad Crescent, Maitama, Abuja FCT, Nigeria.",http://www.kaztec-eng.com/index.php/contact,,,,,,,,,,,,,,http://www.kaztec-eng.com,,,,,,,,
,Kod Technical Services Nigeria Limited,,,Kod Technical Services Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laila Mechanical Engineering Services & Contracting Company Limited (LAMESCO),,,Laila Mechanical Engineering Services & Contracting Company Limited (LAMESCO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laser Engineering and Consultancy Nigeria Limited,,,Laser Engineering and Consultancy Nigeria Limited,http://www.shell.com.ng/aboutshell/media-centre/news-and-media-releases/archive/2012/subsurface-contract.html,,,,,,,,,,,1990,http://www.laser-ng.com/,"KM5 East-West Road, Behind Omega House, Along Rumuodara, Port Harcourt, Rivers state, Nigeria",http://www.laser-ng.com/company-profile.html,Prof. Mike Onyekonwu,,http://www.laser-ng.com/company-profile.html,,,,,,,,,,,http://www.laser-ng.com,,,,,,,,
,Lekoil Limited,,,Lekoil Limited,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=0CDMQFjAB&url=http%3A%2F%2Fwww.afren.com%2Fdownload.axd%3Fid%3D1693&ei=2IyLUpj0O8rAswbCxID4Cg&usg=AFQjCNGHG3WxSHXiP3_ZJbUgVgRimb2riw&bvm=bv.56643336,d.Yms&cad=rja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lighthouse Petroleum Engineering Company Limited (LPEC),,,Lighthouse Petroleum Engineering Company Limited (LPEC),http://www.lighthouselaboratories.com/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LYK Engineering,,,LYK Engineering,http://chattelng.com/PAST-JOBS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MannProject International Limited,,,MannProject International Limited,http://www.mannprojects.com/previous-job/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mercuria Energy Trading,"117,118",,Mercuria Energy Trading,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mercuria Energy Trading SA,"116,118",,Mercuria Energy Trading SA,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mercuria Trading NV,"116,117",,Mercuria Trading NV,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mezcor Limited,,,Mezcor Limited,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mezcor SA,,,Mezcor SA,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,2010,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,"Richard Levinson, Director
Daniel Roy Joanes, Director",,,,,,,,,,,,,,,,,,,,,
,Midwestern Oil and Gas Company,,,Midwestern Oil and Gas Company,http://suntrustoil.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mirror Lake Oil and Gas Company Limited,,,Mirror Lake Oil and Gas Company Limited,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=52846254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mobil Oil Nigeria Plc,124,,Mobil Oil Nigeria Plc,http://nielsonngr.com/about-us/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mobil Producing Nigeria Unlimited,123,,Mobil Producing Nigeria Unlimited,http://www.bintandprathel.com/news/29-bint-a-prathel-ltd-project-with-mobil-on-going-till-2010.html,,,,,,,,,,,1955,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=4727307,"Mobil House, 1, Lekki Expressway, Victoria Island, Lagos state, Nigeria",,Mr. Chikwe Edoziem,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=4727307,,,,,,,,,,,http://www.exxonmobil.com.ng/,,,,,,,,
,Morris Petroleum Limited,,,Morris Petroleum Limited,http://waltersmithng.com/index.php/about-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Movido Nigeria Limited,,,Movido Nigeria Limited,http://www.dewaylesinternational.com/index.php?option=com_content&view=article&id=5&Itemid=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Napoil (Bermuda) Limited,,,Napoil (Bermuda) Limited,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,National Engineering and Technical Company Limited (NETCO),,,National Engineering and Technical Company Limited (NETCO),http://64.224.108.87/news/35504_SHI-wins-3bn-deal-to-build-FPSO-for-Nigerian-oil-fields.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,National Integrated Power Project.,,,National Integrated Power Project.,http://wellman-wellington.org/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,National Oil and Chemical Marketing Company Plc (NOLCHEM),,,National Oil and Chemical Marketing Company Plc (NOLCHEM),http://fomoyi.com/index.php?option=com_content&view=article&id=5&Itemid=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,National Petroleum Investment Management Services (NAPIMS),,,National Petroleum Investment Management Services (NAPIMS),http://www.bintandprathel.com/news/32-bint-and-prathel-conducts-5-day-training-for-nnpc-napims.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Neconde Energy,,,Neconde Energy,http://investor.serinusenergy.com/en/pr/199489/nigeria-oml-42-purchase-completed-by-neconde-kov-retains-option-to-participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nelson Nigeria Limited,,,Nelson Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Neptune Maritime Nigeria Limited,,,Neptune Maritime Nigeria Limited,http://www.danelec-ltd.com/Clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nestoil Plc,,,Nestoil Plc,http://www.nestoilgroup.com/projects.php,,,,,,,Public,http://www.nestoilgroup.com/,,,1991,http://www.nestoilgroup.com/,"Africa Re-building 4th Floor, Plot 1679 Karimu Kotun Str., Victoria Island, Lagos state, Nigeria",http://www.nestoilgroup.com/contact-us.htm,Dr. Ernest Nnaemeka Azudialu-Obiejesi,,http://www.nigerialeadershipsummit.com/ernest-azudialu.php,,,,,,,,,,,http://www.nestoilgroup.com/,,,,,,,,
,New Oil Field and Allied Services Limited (NOAS),,,New Oil Field and Allied Services Limited (NOAS),http://nielsonngr.com/about-us/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Tigerhead PSTI,,,New Tigerhead PSTI,http://energymixreport.com/the-rise-of-the-nigerian-independent-part-2-conoil/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newcross Petroleum Limited,139,,Newcross Petroleum Limited,http://www.businessdayonline.com/NG/index.php/gas/15659-platform-petroleum-records-nigerias-fourth-cdm-facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newcross Petroleum Limited,138,,Newcross Petroleum Limited,http://www.businessdayonline.com/NG/index.php/gas/15659-platform-petroleum-records-nigerias-fourth-cdm-facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nexen Petroleum Nigeria Limited,,,Nexen Petroleum Nigeria Limited,https://www.addaxpetroleum.com/about-us/news/130-nigeria-china-petrochemical-corporation-sinopec-group-is-in-the-final-stages-of-acquiring-totals-interest-in-oml-138-offshore-nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Niger Delta Exploration and Production Plc,,,Niger Delta Exploration and Production Plc,http://oilbarrel.com/media/pub/var/conference_presenter_presentation_file/68.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Niger Delta Petroleum Resources Limited,143,,Niger Delta Petroleum Resources Limited,http://www.anaindustries.net/projects.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Niger Delta Petroleum Resources Limited,142,,Niger Delta Petroleum Resources Limited,http://www.anaindustries.net/projects.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigerdock Nigeria Plc,,,Nigerdock Nigeria Plc,http://www.belloil.com/clients/2014-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigeria Agip Exploration Limited,,,Nigeria Agip Exploration Limited,http://www.teconoilserv.com/index.php?s=projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigeria Gas Company,,,Nigeria Gas Company,http://primesources.net/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigeria Liquefied Natural Gas Limited (NLNG),148,,Nigeria Liquefied Natural Gas Limited (NLNG),http://www.belloil.com/clients/2013-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigeria LNG Limited,147,,Nigeria LNG Limited,http://www.belloil.com/clients/2013-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigeria Petroleum Development Company Limited (NPDC),,,Nigeria Petroleum Development Company Limited (NPDC),http://www.belloil.com/clients/2013-2/,,,,,Nigeria,,,,,,,,,,"Odoliyi Lolomari, Director
George Uzoma Ibekwe, Director
Dr. Funsho Adebiyi, Director
Engr. Fisoye Delano, Director
Maj. Gen Abdu-One Mohammed, Director
Joju Fadairo, Director
Hon. Ogbams Ojimah, Director
Barr. Funsho Sa’ad, Director
Abubakar U. Babangida, Director
Azubuike E. Ahubelem, Director
Sunny O. Olawore, Director
Chike Chukwuka, Director","Barkindo Sanusi (62,500,000)
Arokodare M. (62,500,000)
Chukwu Philip (62,500,000)
Omorogbe Philip (62,500,000)",https://drive.google.com/file/d/0B-KlXDOYUc-Oak9uWnZJUDV5emc/edit?usp=sharing,,,,,,,,,,,,,,,,,,,
,Nigerian Agip Exploration (NAE),,,Nigerian Agip Exploration (NAE),http://www.offshore-technology.com/projects/bonga/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigerian Agip Oil Company Limited,,,Nigerian Agip Oil Company Limited,http://www.petroleumafrica.com/oando-signs-agreements-on-agip-operated-block-opl-282/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigerian National Petroleum Corporation (NNPC),,,Nigerian National Petroleum Corporation (NNPC),http://www.petroleumafrica.com/oando-signs-agreements-on-agip-operated-block-opl-282/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nimex Petroleum,,,Nimex Petroleum,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NSKJ Nigeria Limited,,,NSKJ Nigeria Limited,http://www.danelec-ltd.com/Clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nubian Nigeria Limited,,,Nubian Nigeria Limited,http://www.shell.com.ng/aboutshell/media-centre/news-and-media-releases/archive/2012/subsurface-contract.html,,,,,,,Limited Liability Company,,,,1986,http://nubiangroup.org/about.html#team,"11, Awolowo Road, Ikoyi, Lagos.",http://nubiangroup.org/about.html#team,,,,,,,,,,,,,,http://nubiangroup.org/about.html#team,,,,,,,,
,Nuova Cimi Montubi,,,Nuova Cimi Montubi,http://www.danelec-ltd.com/Clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oando Exploration and Production Limited,,,Oando Exploration and Production Limited,https://drive.google.com/file/d/0B-KlXDOYUc-OQ0c0WDM0YlZIWm8/edit?usp=sharing,,,,,Nigeria,,,,,,,,,,"Tinubu Jubril Adewale, Director
Mobolaji Osunsanya, Director
Olufemi Adeyemo, Director
Boyo Omamofe, Director","Oando Plc (4,999,999)
Mrs. Oredeji Delano (1)",https://drive.google.com/file/d/0B-KlXDOYUc-OQ0c0WDM0YlZIWm8/edit?usp=sharing,,,,,,,,,,,,,,,,,,,
,Oiltest Services Limited,,,Oiltest Services Limited,http://bgiresourcesltd.com/Projects_types5.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Omel Exploration & Production Nigeria Limited,,,Omel Exploration & Production Nigeria Limited,http://www.sydneygateway.com/projects1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ontario Trading SA,,,Ontario Trading SA,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Optimum Petroleum Development Limited,,,Optimum Petroleum Development Limited,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=0CDMQFjAB&url=http%3A%2F%2Fwww.afren.com%2Fdownload.axd%3Fid%3D1693&ei=2IyLUpj0O8rAswbCxID4Cg&usg=AFQjCNGHG3WxSHXiP3_ZJbUgVgRimb2riw&bvm=bv.56643336,d.Yms&cad=rja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oriental Energy Resources Limited,,,Oriental Energy Resources Limited,http://www.offshore-technology.com/projects/okwokfield/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petro-Scan Limited,,,Petro-Scan Limited,http://petroscanlimited.com/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petrobras,,,Petrobras,http://www.subseaiq.com/data/Project.aspx?project_id=662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petroleum Prospects International Limited,,,Petroleum Prospects International Limited,http://www.newswire.ca/fr/story/326777/addax-petroleum-acquires-shallow-water-exploration-license-in-nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petrolin International,,,Petrolin International,http://oilbarrel.com/media/pub/var/conference_presenter_presentation_file/68.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pipelines and Product Marketing Company Limited,,,Pipelines and Product Marketing Company Limited,http://www.belloil.com/clients/2014-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plantgeria Company Limited,,,Plantgeria Company Limited,http://www.plantgeria.com/index.php?page=client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Platform Petroleum Company Limited,,,Platform Petroleum Company Limited,http://www.businessdayonline.com/NG/index.php/gas/15659-platform-petroleum-records-nigerias-fourth-cdm-facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point Engineering Limited,,,Point Engineering Limited,http://pointengineering.com/index.php/experience?start=1,,,,,Nigeria,,Limited Liability Company,http://pointengineering.com/index.php/about-us,,,1995,http://pointengineering.com/index.php/about-us,"Point House, Plot 129 Bodo Road, Off Woji Road, GRA Phase 2, Port Harcourt, Rivers State, Nigeria ",http://pointengineering.com/index.php/about-us,"George Okoyo, Director
Peter Eigbedon, Director
Richard Aludu, Director
Omare A. Jonathan, Director
George Okoyo, Director
Abubakar Dahiru, Director
Keneth Okoyo, Director
Odinaka Okoyo, Director
Peter Eigbedon, Director
Ebosetee Okoyo, Director
Anthony Oghuvwu, Director
Batombari Lezor, Director
Emeka Nwankwo, Director
Samuel Eguvere, Director
Egbuluka Francis, Director
Oke Oderhohwo, Director
Ureme Ikechukwu, Director
Mark Majebi, Director","George Okoyo (54,000,000)
Abubakar Dahiru (6,000,000)
Keneth Okoyo (10,000,000)
Barr. Opufaa Ben-Whyte (1,000,000)
Jonathan Taberen (500,000)
Osemujamhen Okoyo (5,000,000)
Odinaka Okoyo (5,000,000)
Peter Eigbedon (2,000,000)
Ebosetee Okoyo (10,000,000)
Caroline Okoyo (5,000,000)
Samuel Eguvere (500,000)
Staff (trustee Share) (1,000,000)",https://drive.google.com/file/d/0B-KlXDOYUc-ObGFDRE41SVVScmM/edit?usp=sharing,,,,,,,,,,,http://pointengineering.com,,,,,,,,
,Port Harcourt Refining Company Limited (PHRC),,,Port Harcourt Refining Company Limited (PHRC),http://www.mannprojects.com/previous-job/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prime Sources Limited,,,Prime Sources Limited,http://primesources.net/projects.html,,,,,,,,,,,2001,http://primesources.net/aboutus.html,"Galcon House, Plot 2, Blk 113, Lekki Express Way (By Elf B/Stop), Lekki-Phase 1, Lagos State, Nigeria.",http://primesources.net/aboutus.html,,,,,,,,,,,,,,,,,,,,,,
,Rayflosh Petroleum,,,Rayflosh Petroleum,http://newcrosspet.com/news.php?page=48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RFO Ventures Limited,,,RFO Ventures Limited,http://www.petroleumafrica.com/oando-signs-psc-and-gmou/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,River Creek Specialist Limited,,,River Creek Specialist Limited,http://jephkebbi.com/index.php?option=com_content&view=article&id=5&Itemid=5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rockson Engineering,,,Rockson Engineering,http://nielsonngr.com/about-us/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Royal Dutch Shell Plc,,,Royal Dutch Shell Plc,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=8176559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sahara Energy Resource Limited,179,,Sahara Energy Resource Limited,http://wellman-wellington.org/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sahara Energy Resource Nigeria Limited (SERNL),178,,Sahara Energy Resource Nigeria Limited (SERNL),http://wellman-wellington.org/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saipem Contracting Nigeria Limited,"181,182",,Saipem Contracting Nigeria Limited,http://chattelng.com/PAST-JOBS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saipem Energy International,"180,182",,Saipem Energy International,http://pointengineering.com/index.php/experience?start=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saipem Nigeria,"180,181",,Saipem Nigeria,http://www.belloil.com/clients/2014-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Samsung Heavy Industries Upstream Nigeria,,,Samsung Heavy Industries Upstream Nigeria,http://64.224.108.87/news/35504_SHI-wins-3bn-deal-to-build-FPSO-for-Nigerian-oil-fields.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sapetro,,,Sapetro,http://www.subseaiq.com/data/Project.aspx?project_id=662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SCC Nigeria Limited,,,SCC Nigeria Limited,http://www.shell.com.ng/aboutshell/media-centre/news-and-media-releases/archive/2011/line-pipes.html,,,,,,,,,,,,,"SCCN House, Plot 184 Cadestral Zone A8, Ademola Adetakunbo Wuse 2,Abuja, Nigeria.",http://www.sccnigeria.com/#/Contacts/,"Prof. John Kester, Chairman/CEO
Engr. Safet  Karaulan, Managing Director
Mr. Henry C. Eneh, General Manager
Mrs. Patience I. Ikemefuna, Chief Financial Officer",,http://www.sccnigeria.com/#/About-us/,,,,,,,,,,,http://www.sccnigeria.com/,,,,,,,,
,Schlumberger (Sedco-Forex) Nigeria Limited,,,Schlumberger (Sedco-Forex) Nigeria Limited,http://bgiresourcesltd.com/Projects_types5.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Schlumberger (Wire line and Testing) Nigeria Limited,,,Schlumberger (Wire line and Testing) Nigeria Limited,http://www.danelec-ltd.com/Clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Schlumberger Limited,x,,Schlumberger Limited,http://investorcenter.slb.com/phoenix.zhtml?c=97513&p=irol-newsArticle&ID=427097&highlight=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Schlumberger Oilfield Services,,,Schlumberger Oilfield Services,http://bgiresourcesltd.com/Projects_types5.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Schlumberger Supply Chain Services,,,Schlumberger Supply Chain Services,http://www.teconoilserv.com/index.php?s=projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seplat Petroleum Development Company Plc,,,Seplat Petroleum Development Company Plc,https://drive.google.com/file/d/0B-KlXDOYUc-ONUI4b3RRd2F2eDQ/edit?usp=sharing,,,,,Nigeria,,,,,,,,,,"Henin Jean-Francois, Director
Hochard Michel Noel Marie, Director
Orjiakor Ambrose Bryant Chukwueloka, Director
Avuru Augustine Ojuekwu, Director
Ofurhie Macaulay Agbada, Director
Ada-bayero Nasir, Director
Omiyi Basil, Director
Connal Stuart, Director
Okeahalam Charles, Director
Okauru Ifueko Omoigui, Director
Alexander Michael Richard, Director
Brown Roger, Director","MIL (formerly Maurel & Prom Nigeria) SAS (180,000,000)
Sheba Petroleum Development Co. Ltd (BVI) (124,000,000)
Platform Petroleum (JV) Ltd (BVI) (96,000,000)",https://drive.google.com/file/d/0B-KlXDOYUc-ONUI4b3RRd2F2eDQ/edit?usp=sharing,,,,,,,,,,,,,,,,,,,
,Shebah Exploration & Production Company Limited,,,Shebah Exploration & Production Company Limited,http://www.igbofocus.co.uk/How_the_North_Cornered_Nigeria/how_the_north_cornered_nigeria-s_oil_blocs.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shell Gas BV,,,Shell Gas BV,http://www.nlng.com/PageEngine.aspx?&id=43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shell International Limited,,,Shell International Limited,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=5502894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shell Nigeria Developement Company,198,,Shell Nigeria Developement Company,http://www.teconoilserv.com/index.php?s=projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shell Nigeria Exploration and Production Company (SNEPCO),,,Shell Nigeria Exploration and Production Company (SNEPCO),http://www.hyprops.com/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shell Nigeria Gas Limited,,,Shell Nigeria Gas Limited,http://www.jamservicesco.com/projects.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shell Petroleum Development Company of Nigeria Limited (SPDC),195,,Shell Petroleum Development Company of Nigeria Limited (SPDC),http://www.jamservicesco.com/projects.htm,,,,,,,,,,,1936,http://www.shell.com.ng/aboutshell/who-we-are/history/country/first-steps.html,"Shell Petroleum Development Company of Nigeria Ltd., Freeman  House, 21/22 Marina, PMB 2418, Lagos, Nigeria",http://www.shell.com.ng/about-our-website/contact-us.html,"Mr. Mutiu Sunmonu (MD)
Mr. Olujinmi Lawal",,http://www.shell.com.ng/aboutshell/pensionfund/trustees/trustee-directors.html,,,,,,,,,,,www.shell.com.ng,,,,,,,,
,Shell Petroleum NV,,,Shell Petroleum NV,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=8182775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sinopec International Petroleum Exploration & Production Corporation,201,,Sinopec International Petroleum Exploration & Production Corporation,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=52846254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sinopec International Petroleum Exploration and Production Company Nigeria Limited,200,,Sinopec International Petroleum Exploration and Production Company Nigeria Limited,http://www.anaindustries.net/projects.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slot Engineering Nigeria limited,,,Slot Engineering Nigeria limited,http://www.sloteng.com/referenceprojects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Snamprogetti SpA,,,Snamprogetti SpA,http://bgiresourcesltd.com/Projects_types.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Socar Trading SA,,,Socar Trading SA,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Star Deep Water Petroleum (CHEVRON),207,,Star Deep Water Petroleum (CHEVRON),http://hamiltontechnologies.com/index.php/projects/bulk-methanol-delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Starcrest Nigeria Energy Limited,,,Starcrest Nigeria Energy Limited,http://www.ventures-africa.com/2012/09/elcrest-acquires-30-stake-in-shells-oml-40-oil-block-for-102m/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stardeep Water Petroleum Limited,205,,Stardeep Water Petroleum Limited,http://www.teconoilserv.com/index.php?s=projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Statoil ASA,,,Statoil ASA,http://www.offshore-technology.com/projects/agbami/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sterling Energy & Exploration Production Limited,,,Sterling Energy & Exploration Production Limited,http://www.belloil.com/clients/2013-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subsea7 (Nigeria) Limited,,,Subsea7 (Nigeria) Limited,http://www.belloil.com/clients/2014-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summit Oil & Gas Worldwide Limited,,,Summit Oil & Gas Worldwide Limited,http://www.simco-pet.com/files/ATLAS%20MMEA%20Jan11+maps.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
