Timestamp,Legal Name,Other Names,Previous Names,Company number,Source URL,Company Type,Source URL,Trading name,Source URL,Date founded,Source URL,Headquarters,Source URL,Key people,Source URL,Revenue,Source URL,Profit,Source URL,Total assets,Source URL,Total equity,Source URL,Employees,Source URL,Website,Document Name,Document Summary,Document Raw,Document URL
,,Conoil Producing Unlimited,,,,,,,,,,,,"Dr. Michael Adebuga (Jnr), Director
Mr. Michael Agbolade Adenuga, Director
Alhaji Sefiu Subair, Director
Chief (Mrs.) Oyindamola Adenuga, Director",https://drive.google.com/file/d/0B-KlXDOYUc-ORWxJdmMxSWhzcTg/edit?usp=sharing,,,,,,,,,,,,,,,
,,New Tigerhead PSTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Atlas Petroleum International Limited,,,,,,,,,,,,"Prince Arthur Eze, Director
Mr. Walter Chukwuzor Eze, Director
Ikpechukwu Eze (Jnr), Director
Mohammed Murtala, Director
Ibrahim Mohammed, Director",https://drive.google.com/file/d/0B-KlXDOYUc-OWmRMdjhpS2hkcnM/edit?usp=sharing,,,,,,,,,,,,,,,
,,Summit Oil & Gas Worldwide Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Camac International Nigeria Limited,,,,,,,,,,,,"Lawal Lukeman K., Director
Aliyu Kola Belgore, Director
Lawal Kamoru, Director
Lawal Mickey, Director
Adegbemile Iyabo, Director
Busari Murhi, Director",https://drive.google.com/file/d/0B-KlXDOYUc-OTkMxVWk4U1RrOVE/edit?usp=sharing,,,,,,,,,,,,,,,
,,EHRC Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Continental Oil and Gas Limited,,,,,,,,,,,,"Subair Alhaji Sefiu, Director
Agbolade Paddy, Director
Adenuga Mike, Director",https://drive.google.com/file/d/0B-KlXDOYUc-OQ19DZFFBc3luSlE/edit?usp=sharing,,,,,,,,,,,,,,,
,,Midwestern Oil and Gas Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Suntrust Oil Company Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Platform Petroleum Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Newcross Petroleum Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rayflosh Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nigeria Petroleum Development Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,First Hydrocarbon Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Neconde Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oando Exploration and Production Limited,,,,,,,,,,,,"Tinubu Jubril Adewale, Director
Mobolaji Osunsanya, Director
Olufemi Adeyemo, Director
Boyo Omamofe, Director",https://drive.google.com/file/d/0B-KlXDOYUc-OQ0c0WDM0YlZIWm8/edit?usp=sharing,,,,,,,,,,,,,,,
,,Camac International Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,First Axis Oil & Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RFO Ventures Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Arc Resources Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Optimum Petroleum Development Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lekoil Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Niger Delta Exploration and Production Plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Petrolin International,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,First Exploration & Petroleum Development Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Walter Smith Petroman Oil Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Morris Petroleum Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Starcrest Nigeria Energy Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Eland Oil and Gas Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Elcrest Exploration and Production Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Trafigura Beheer BV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Napoil (Bermuda) Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Delaney Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vitol Energy (Bermunda) Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hyson (Nigeria) Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Calson (Bermuda) Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Glencore Energy UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gunvor International,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mercuria Energy Trading,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mercuria Trading NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mercuria Energy Trading SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taurus Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Arcadia Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nimex Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Socar Trading SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ontario Trading SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taleveras Petroleum Trading BV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aiteo Suisse AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sahara Energy Resource Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mezcor SA,,,,,,,,2010,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,"Richard Levinson, Director
Daniel Roy Joanes, Director",,,,,,,,,,,,,,,,
,,Tridax Energy Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mezcor Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tridax SA,,,,,,,,2010,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,"Richard Levinson, Director
Daniel Roy Joanes, Director",,,,,,,,,,,,,,,,
