Timestamp,Legal Name,Other Names,Previous Names,Company number,Source URL,Company Type,Source URL,Trading name,Source URL,Date founded,Source URL,Headquarters,Source URL,Key people,Source URL,Revenue,Source URL,Profit,Source URL,Total assets,Source URL,Total equity,Source URL,Employees,Source URL,Website,Document Name,Document Summary,Document Raw,Document URL
,,Point Engineering Limited,,,,Limited Liability Company,http://pointengineering.com/index.php/about-us,,,1995,http://pointengineering.com/index.php/about-us,"Point House, Plot 129 Bodo Road, Off Woji Road, GRA Phase 2, Port Harcourt, Rivers State, Nigeria ",http://pointengineering.com/index.php/about-us,"George Okoyo, Director
Peter Eigbedon, Director
Richard Aludu, Director
Omare A. Jonathan, Director
George Okoyo, Director
Abubakar Dahiru, Director
Keneth Okoyo, Director
Odinaka Okoyo, Director
Peter Eigbedon, Director
Ebosetee Okoyo, Director
Anthony Oghuvwu, Director
Batombari Lezor, Director
Emeka Nwankwo, Director
Samuel Eguvere, Director
Egbuluka Francis, Director
Oke Oderhohwo, Director
Ureme Ikechukwu, Director
Mark Majebi, Director",https://drive.google.com/file/d/0B-KlXDOYUc-ObGFDRE41SVVScmM/edit?usp=sharing,,,,,,,,,,,http://pointengineering.com,,,,
,,Prime Sources Limited,,,,,,,,2001,http://primesources.net/aboutus.html,"Galcon House, Plot 2, Blk 113, Lekki Express Way (By Elf B/Stop), Lekki-Phase 1, Lagos State, Nigeria.",http://primesources.net/aboutus.html,,,,,,,,,,,,,,,,,
,,Saipem Energy International,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Saipem Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Samsung Heavy Industries Upstream Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCC Nigeria Limited,,,,,,,,,,"SCCN House, Plot 184 Cadestral Zone A8, Ademola Adetakunbo Wuse 2,Abuja, Nigeria.",http://www.sccnigeria.com/#/Contacts/,"Prof. John Kester, Chairman/CEO
Engr. Safet  Karaulan, Managing Director
Mr. Henry C. Eneh, General Manager
Mrs. Patience I. Ikemefuna, Chief Financial Officer",http://www.sccnigeria.com/#/About-us/,,,,,,,,,,,http://www.sccnigeria.com/,,,,
,,Schlumberger Supply Chain Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shell Nigeria Developement Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shell Nigeria Exploration and Production Company (SNEPCO),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shell Petroleum Development Company of Nigeria Limited (SPDC),,,,,,,,1936,http://www.shell.com.ng/aboutshell/who-we-are/history/country/first-steps.html,"Shell Petroleum Development Company of Nigeria Ltd., Freeman  House, 21/22 Marina, PMB 2418, Lagos, Nigeria",http://www.shell.com.ng/about-our-website/contact-us.html,"Mr. Mutiu Sunmonu (MD)
Mr. Olujinmi Lawal",http://www.shell.com.ng/aboutshell/pensionfund/trustees/trustee-directors.html,,,,,,,,,,,www.shell.com.ng,,,,
,,Star Deep Water Petroleum (CHEVRON),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stardeep Water Petroleum Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Technip France,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Technip Offshore Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tecon Oil Services Limited,,,,,,,,1991,http://www.teconoilserv.com/index.php?s=about-us,"7, Yeshayahu Lasode Crescent, (By Mobil House), VI, Lagos, Nigeria.",http://www.teconoilserv.com/index.php?s=personnel,"Godwin Sampson Adokpaye, Director
Maduafokwa Blossom Adaeze, Director
Njoku Donatus Chukwuemeka, Director",https://drive.google.com/file/d/0B-KlXDOYUc-OSTA1SnNUOXRaYVk/edit?usp=sharing,,,,,,,,,,,http://www.teconoilserv.com/,,,,
