Company,Source URL,Confidence
Catobi Nigeria Enterprise Limited,http://www.catobi.com/index1.html,Medium 
Chattel Associates Nigeria Limited,http://chattelng.com/about_us.html,Medium 
,http://chattelng.com/PAST-JOBS.pdf,Medium 
Chevron Corporation,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=13614774,Medium
,http://www.nnpcgroup.com/nnpcbusiness/upstreamventures.aspx,High
Chevron Nigeria Limited,http://www.teconoilserv.com/index.php?s=projects,Medium 
,http://primesources.net/projects.html,Medium 
,http://www.technip.com/en/entities/crestech/experience,Medium 
,http://www.belloil.com/clients/2014-3/,Medium 
,http://wellman-wellington.org/clients.html,Medium 
,http://www.mannprojects.com/previous-job/,Medium 
,http://www.sydneygateway.com/projects.html,Medium 
,http://cisaninternational.com/projects.html,Medium 
,http://nielsonngr.com/about-us/projects.html,Medium 
,http://bgiresourcesltd.com/Projects_types.htm,Medium 
,http://www.dewaylesinternational.com/index.php?option=com_content&view=article&id=5&Itemid=6,Medium 
,http://www.oilmapng.com/viewOilBlock_page.php?id=358,Low 
,http://www.oilmapng.com/viewOilBlock_page.php?id=31,Low 
,http://www.oilmapng.com/viewOilBlock_page.php?id=34,Low 
,http://www.nnpcgroup.com/nnpcbusiness/upstreamventures.aspx,High
China National Offshore Oil Corporation (CNOOC),http://www.subseaiq.com/data/Project.aspx?project_id=662,Medium 
,http://www.gasandoil.com/news/africa/114a70f6122b659182c344fcc2ec71b5,Low 
China National Petroleum Corporation,"http://books.google.com.ng/books?id=HzIslxyu6U4C&pg=PA49&lpg=PA49&dq=China+National+Petroleum+Corporation,+opl+298&source=bl&ots=kUz1dGcq_C&sig=hL6Bz36z5MJewoF7ml7CenlpNik&hl=en&sa=X&ei=qyHiU_7nAbHY7AbA54CAAg&ved=0CDQQ6AEwAw#v=onepage&q=China%20National%20Petroleum%20Corporation%2C%20opl%20298&f=false",Medium 
,http://africaoilgasreport.com/2009/01/oil-patch-sub-sahara/cnodc-processes-opl-471-data/,Low 
China Petrochemical Corporation,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=7537931,Medium
,https://www.addaxpetroleum.com/images/pdf/Corporate-Brochure.pdf,High
Cisan International Limited,http://cisaninternational.com/projects.html,Medium 
Conoil Producing Unlimited,http://total.com/en/media/news/press-releases/20100624-nigeria-hydrocarbon-discovery-oml-136,Medium 
